ID,UnitID,OrgID,SiteID,SampleType,FeatureID,ShapeType,SherdNumber,Weight,SherdSize,VesselPartition,VesselFunctional,VesselBaseType,HandleNumber,TypeLip,TypeRim,TypeNeck,TypeNeckShoulder,TypeBodyUpper,TypeBodyTransition,TypeBodyLower,TypeBaseExterior,TypeBaseInterior,ThicknessLip,ThicknessRim,ThicknessNeck,ThicknessNeckShoulder,ThicknessBodyUpper,ThicknessBodyTransition,ThicknessLowerBody,ThicknessBaseExterior,R1,H1,H3,H4,H6,R2,R3,R4,R5,HandleForm,HandleThickness,Decorated,DecoratedTechA,DecoratedTechEleA,DecoratedTechPosA,DecoratedTechEncA,DecoratedTechB,DecoratedTechEleB,DecoratedTechPosB,DecoratedTechEncB,DecoratedTechC,DecoratedTechEleC,DecoratedTechPosC,DecoratedTechEncC,DecoratedMotif,DecoratedMotifPos,DecoratedMotifGroup,DecoratedMotifsEncr,DecoratedPatternGroup,DecoratedPatternGroupPos,DecoratedPatternGroupEnc,Firing,Firing_general,Inclusions,InclusionsSorting,InclusionsSize,InclusionsVisible,SurfaceExterior,ColorExterior,SurfaceInterior,ColorInterior,SpecialistTextile,SpecialistTextileType,Forming,FiringSecondary
3881,CZE_SF_658,84,16,selected finds,"CZE: HAIII, Ar 54AB",rim,1,4,1x1cm < x ≤ 2x2 cm,,,,,LP014,RM001,NA,NA,NA,NA,NA,NA,NA,16,8,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F001,oxidized,I004,G002,SZ002,0,EST002,EC007,IST002,IC007,0,NA,,
3885,CZE_SF_662,84,16,selected finds,"CZE: HAIII, Ar 54AB",rim,1,2,2x2cm < x ≤ 3x3 cm,,,,,LP041,RM001,NA,NA,NA,NA,NA,NA,NA,4,5,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F001,oxidized,I004,G002,SZ002,0,EST001,EC007,IST002,IC007,0,NA,,
3888,CZE_SF_665,84,16,selected finds,"CZE: HAIII, Ar 54AB",rim,1,1,1x1cm < x ≤ 2x2 cm,,,,,LP003,NA,NA,NA,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F001,oxidized,I004,G002,SZ002,0,EST002,EC007,IST002,IC007,0,NA,,
3930,CZE_SF_707,25,16,selected finds,"CZE: HAIII, Ar 45A, 12",rim,1,2,2x2cm < x ≤ 3x3 cm,,,,,LP004,RM008,NA,NA,NA,NA,NA,NA,NA,4,5,,,,,,,110,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F001,oxidized,I004,G002,SZ002,0,EST001,EC007,IST001,IC007,0,NA,,
4021,CZE_SF_798,527,16,selected finds,"CZE: HAII, Ar 87D",base,1,26,4x4cm < x ≤ 5x5 cm,,,,,NA,NA,NA,NA,NA,NA,NA,BE003,BI001,,,,,,,,12,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F001,oxidized,I004,G002,SZ003,0,EST001,EC017,IST001,IC017,0,NA,,
3744,CZE_SF_521,435,16,selected finds,"CZE: HAII, 84CD",body,1,3,2x2cm < x ≤ 3x3 cm,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,6,,,,,,,,,,,,,1,TC002,E201,14,0,NA,NA,NA,NA,NA,NA,NA,NA,Su002,14,MG015,0,0,0,0,F001,oxidized,I004,G003,SZ001,0,EST002,EC007,IST002,IC007,0,NA,,
3388,CZE_SF_165,31,16,selected finds,"CZE: HAIII, Ar 55CD, 10",body,1,6,3x3cm < x ≤ 4x4 cm,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,9,,,,,,,,,,,,,1,TC002,E201,9,0,NA,NA,NA,NA,NA,NA,NA,NA,Su004,9,MG015,0,0,0,0,F001,oxidized,I002; I004,G002,SZ002,1,EST024,EC001,IST001,IC007,0,NA,,SF001
3680,CZE_SF_457,495,16,selected finds,"CZE: HAIV, 5CD",body,1,4,2x2cm < x ≤ 3x3 cm,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,6,,,,,,,,,,,,,1,TC002,E201,9,0,NA,NA,NA,NA,NA,NA,NA,NA,Su004,9,MG015,0,0,0,0,F001,oxidized,I004,G003,SZ001,0,EST024,EC007,IST002,IC007,0,NA,,
3555,CZE_SF_332,444,16,selected finds,"CZE: HAIII, 14AB",body,1,4,1x1cm < x ≤ 2x2 cm,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,8,,,,,,,,,,,,,1,TC001,E138,9,0,NA,NA,NA,NA,NA,NA,NA,NA,Su005,9,MG015,0,0,0,0,F001,oxidized,I004,G002,SZ002,0,EST024,EC007,IST002,IC015,1,type 1,,SF001
3637,CZE_SF_414,203,16,selected finds,"CZE: HAIII, Ar 55D-56CD-66B",body,1,5,1x1cm < x ≤ 2x2 cm,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,8,,,,,,,,,,,,,1,TC001,E138,9,0,NA,NA,NA,NA,NA,NA,NA,NA,Su005,9,MG015,0,0,0,0,F001,oxidized,I004,G002,SZ002,0,EST024,EC001,IST002,IC001,1,type 1,,SF002
